Gene_name,Ciliary Gene,Ciliary TF interactions
DNAAF4,YES,YES
DNAAF6,YES,YES
DNAAF11,YES,YES
DNAH1,YES,YES
DNAH2,YES,YES
DNAH3,Unknown,YES
DNAH5,YES,YES
DNAH6,YES,YES
DNAH7,YES,YES
DNAH8,Unknown,YES
DNAH9,YES,YES
DNAH10,YES,YES
DNAH11,YES,YES
DNAH12,Unknown,YES
DNAH17,YES,YES
DNAI1,YES,YES
DNAI3,YES,YES
DNAI4,YES,YES
DNAI7,Unknown,YES
DNAJB13,YES,YES
DNAJC1,Unknown,YES
DNAJC15,Unknown,YES
DNAL1,YES,YES
DNALI1,YES,YES
DNASE1L3,Unknown,YES
DNMBP,YES,YES
DOCK5,Unknown,YES
DOCK9,Unknown,YES
DOP1A,Unknown,YES
DPF1,Unknown,YES
DPY19L2,Unknown,YES
DPYD,Unknown,YES
DRAM1,Unknown,YES
DRC1,YES,YES
DRC3,YES,YES
DRC7,YES,YES
DSCAML1,Unknown,YES
DSG2,Unknown,YES
DTHD1,Unknown,YES
DTNA,Unknown,YES
DUSP1,Unknown,YES
DUSP22,Unknown,YES
DUSP23,Unknown,YES
DUSP29,Unknown,YES
DYDC1,Unknown,YES
DYDC2,Unknown,YES
DYNC2H1,YES,YES
DYNC2I1,YES,YES
DYNC2I2,YES,YES
DYNC2LI1,YES,YES
DYNLT2B,YES,YES
DYNLT5,Unknown,YES
DYRK1A,Unknown,YES
DZANK1,YES,YES
DZIP1,YES,YES
DZIP1L,YES,YES
DZIP3,Unknown,YES
E2F5,Unknown,YES
E2F7,Unknown,YES
EAPP,Unknown,YES
ECEL1,Unknown,YES
ECHDC2,Unknown,YES
ECT2L,Unknown,YES
EEF1A1,Unknown,YES
EEF1B2,Unknown,YES
EEF2,Unknown,YES
EFCAB1,Unknown,YES
EFCAB2,Unknown,YES
EFCAB6,Unknown,YES
EFCAB7,YES,YES
EFCAB11,Unknown,YES
EFCAB12,Unknown,YES
EFHB,Unknown,YES
EFHC1,YES,YES
EFHC2,Unknown,YES
EFR3B,Unknown,YES
EIF4G3,Unknown,YES
ELMOD1,Unknown,YES
ELMOD2,Unknown,YES
EML1,Unknown,YES
EML4,Unknown,YES
EML5,Unknown,YES
EML6,Unknown,YES
ENKD1,Unknown,YES
ENKUR,YES,YES
ENO4,Unknown,YES
ENOX1,Unknown,YES
ENPP2,Unknown,YES
ENPP3,Unknown,YES
EPAS1,Unknown,YES
EPB41L3,Unknown,YES
EPB41L4A,Unknown,YES
EPC1,Unknown,YES
EPS8,Unknown,YES
EPSTI1,Unknown,YES
ERBB4,Unknown,YES
ERGIC1,Unknown,YES
ERICH2,Unknown,YES
ERICH3,Unknown,YES
ERN2,Unknown,YES
ERRFI1,Unknown,YES
ESRP1,Unknown,YES
EVA1C,Unknown,YES
EVI5,Unknown,YES
EVL,Unknown,YES
EXOC4,YES,YES
EXOC6B,YES,YES
EYA1,Unknown,YES
EYA2,Unknown,YES
EYA4,Unknown,YES
FABP2,Unknown,YES
FABP5,Unknown,YES
FAF1,Unknown,YES
FAIM,Unknown,YES
FAM3C,Unknown,YES
FAM13A,Unknown,YES
FAM13B,Unknown,YES
FAM81B,Unknown,YES
FAM83F,Unknown,YES
FAM102B,Unknown,YES
FAM149A,Unknown,YES
FAM161A,YES,YES
FAM166B,Unknown,YES
FAM169A,Unknown,YES
FAM171A1,Unknown,YES
FAM172A,Unknown,YES
FAM183A,Unknown,YES
FAM184A,Unknown,YES
FAM189A2,Unknown,YES
FAM214A,Unknown,YES
FAM216B,Unknown,YES
FAM221A,Unknown,YES
FAM227A,Unknown,YES
FAM227B,Unknown,YES
FAM228B,Unknown,YES
FANCI,Unknown,YES
FANK1,YES,YES
FAR2,Unknown,YES
FARP1,Unknown,YES
FARS2,Unknown,YES
FBXL2,Unknown,YES
FBXL13,Unknown,YES
FBXL17,Unknown,YES
FBXO15,Unknown,YES
FBXO16,Unknown,YES
FBXO36,Unknown,YES
FBXW7,Unknown,YES
FBXW11,Unknown,YES
FCHO2,Unknown,YES
FEM1C,Unknown,YES
FGF14,Unknown,YES
FGFBP2,Unknown,YES
FGFR2,Unknown,YES
FGGY,Unknown,YES
FHAD1,Unknown,YES
FIP1L1,Unknown,YES
FKBP5,Unknown,YES
FLACC1,Unknown,YES
FLOT2,Unknown,YES
FLRT2,Unknown,YES
FLVCR2,Unknown,YES
FMNL2,Unknown,YES
FNBP1,Unknown,YES
FNDC3B,Unknown,YES
FOXP1,Unknown,YES
FOXP2,Unknown,YES
FRK,Unknown,YES
FRMD4A,Unknown,YES
FRMD4B,Unknown,YES
FRMPD2,Unknown,YES
FRMPD3,Unknown,YES
FRMPD4,Unknown,YES
FRS2,Unknown,YES
FRY,Unknown,YES
FSD1L,Unknown,YES
FSIP1,Unknown,YES
FTH1,Unknown,YES
FTO,Unknown,YES
FUT9,Unknown,YES
GAB4,Unknown,YES
GABARAP,Unknown,YES
GALK2,Unknown,YES
GALNT12,Unknown,YES
GAREM1,Unknown,YES
GARS1,Unknown,YES
GAS2L2,YES,YES
GATD3A,Unknown,YES
GBP6,Unknown,YES
GCLC,Unknown,YES
GCLM,Unknown,YES
GHITM,Unknown,YES
GIPC2,Unknown,YES
GLB1L2,Unknown,YES
GLIS3,Unknown,YES
GLS,Unknown,YES
GLUL,Unknown,YES
GMDS,Unknown,YES
GMNC,YES,YES
GNA14,Unknown,YES
GNAS,Unknown,YES
GNPDA1,Unknown,YES
GNPTAB,Unknown,YES
GOLGA4,Unknown,YES
GOLM2,Unknown,YES
GOLPH3L,Unknown,YES
GPAT3,Unknown,YES
GPATCH2,Unknown,YES
GPCPD1,Unknown,YES
GPD2,Unknown,YES
GPHN,Unknown,YES
GPLD1,Unknown,YES
GPR155,Unknown,YES
GPRC5A,Unknown,YES
GRAMD2A,Unknown,YES
GRHL2,Unknown,YES
GRHL3,Unknown,YES
GRID2IP,Unknown,YES
GRIN2A,Unknown,YES
GRIN2B,Unknown,YES
GSAP,Unknown,YES
GSK3B,YES,YES
GSPT1,Unknown,YES
GSTCD,Unknown,YES
GTPBP10,Unknown,YES
GUCY1A2,Unknown,YES
GYG1,Unknown,YES
HCN1,Unknown,YES
HDAC9,Unknown,YES
HDAC10,Unknown,YES
HELLS,Unknown,YES
HENMT1,Unknown,YES
HHAT,Unknown,YES
