gene	set.1.n.umi	set.2.n.umi	set.1.tpm	set.2.tpm	higher.expr	log2.ratio	precision1	precision2	pct.1	pct.2	f.score	p.val	q.val
Y105C5B.1	5	4	8.75071102912349	0.316906438975939	Set 1	2.73224739483518	0.5	0.5	0.003487358326068	9.78282136568186e-05	0.00692640692640693	0.0501712827981292	0.111590267135188
taf-8	3	1561	7.86014868826616	23.8792138200815	Set 2	1.43035252430353	0.00246507806080526	0.997534921939195	0.002615518744551	0.0296908628448445	0.0576653604085026	0.0503275439553986	0.111922947539398
ugt-9	0	189	0	4.4848981411432	Set 2	2.16507521971838	0	1	0	0.00286147524946194	0.00570662114376295	0.0503532865082698	0.111965319023371
D2023.4	1	511	1.55964146961896	9.48941431013954	Set 2	1.8903773010754	0.0028169014084507	0.997183098591549	0.000871839581517001	0.00865779690862845	0.0171665494750624	0.0503756127771443	0.112000083827187
math-7	1	8	4.359197907585	0.147111125470177	Set 1	1.92605754548499	0.142857142857143	0.857142857142857	0.000871839581517001	0.000146742320485228	0.00173310225303293	0.050397213812955	0.112033227199818
T25G3.4	56	7185	145.959986070437	132.846822923135	Set 1	0.124990023732896	0.00979815794630609	0.990201842053694	0.04359197907585	0.123581490901976	0.016	0.0504289728310492	0.112088940009731
tag-343	0	123	0	4.99612091932478	Set 2	2.32080839439966	0	1	0	0.00176090784582274	0.003515625	0.0504998667821208	0.11223161204785
F26A1.6	2	40	8.80646041936365	1.17066701953746	Set 1	2.02042383981645	0.0416666666666667	0.958333333333333	0.000871839581517001	0.000562512228526707	0.00170794192997438	0.0505182291427787	0.112257514758721
coh-3	1	1981	7.92581437742728	26.2910796097124	Set 2	1.55851767609527	0.000726744186046512	0.999273255813954	0.000871839581517001	0.0336284484445314	0.0650671966685595	0.0505690263653201	0.112355475146205
stim-1	16	3645	37.9247844580383	66.5037100831499	Set 2	0.772745776817478	0.00496770988574267	0.995032290114257	0.00871839581517001	0.0489874779886519	0.0933777767418009	0.0505808668589686	0.112366866023169
C03F11.2	0	143	0	4.59725028468495	Set 2	2.20077121186811	0	1	0	0.00119839561729603	0.00239392236851748	0.0505985104226635	0.11237622995543
F57A8.1	58	4641	170.22370206034	233.462795051065	Set 2	0.447310234248492	0.0140458015267176	0.985954198473282	0.040104620749782	0.0789718254744668	0.146231007857256	0.0505951537406923	0.11237622995543
oac-52	0	243	0	4.10812401493638	Set 2	2.03847973400108	0	1	0	0.00327724515750342	0.00653307981083321	0.0506196228097317	0.112408203126772
mrp-7	32	5593	80.3342074157244	75.6474720023831	Set 1	0.0677762285592523	0.00753348214285714	0.992466517857143	0.023539668700959	0.086993738994326	0.0114140773620799	0.0507508542983782	0.11268467078694
W01C9.2	0	139	0	4.66350185099121	Set 2	2.22141369002055	0	1	0	0.00234787712776365	0.00468475502635175	0.050960202007971	0.113119482892229
B0207.6	8	823	20.257140995146	11.8142086985121	Set 1	0.660686180549569	0.00803212851405622	0.991967871485944	0.003487358326068	0.0120817843866171	0.00486322188449848	0.0509588839598769	0.113119482892229
try-6	6	283	15.152322036727	7.22182706534348	Set 1	0.882007966006858	0.0240963855421687	0.975903614457831	0.00523103748910201	0.00594306397965173	0.00859598853868195	0.0510403180445085	0.113282297190152
mig-5	17	3874	34.9262755029827	62.786330151315	Set 2	0.805411111444039	0.00488042947779405	0.995119570522206	0.00871839581517001	0.0498679319115633	0.0949763607145352	0.0510625804312524	0.113316681076355
ttr-23	0	168	0	4.18954666374034	Set 2	2.06679414336202	0	1	0	0.00139405204460967	0.00278422273781903	0.0511057812020727	0.113360965468511
K04G2.7	0	136	0	4.74391030901057	Set 2	2.2460767337522	0	1	0	0.00176090784582274	0.003515625	0.051098382074155	0.113360965468511
clec-90	0	229	0	4.50175623002245	Set 2	2.17048793700987	0	1	0	0.00467129720211309	0.00929915528615594	0.0511055291579811	0.113360965468511
lev-9	2	1439	8.30323410968572	24.0097871387376	Set 2	1.36781837656198	0.00113895216400911	0.998861047835991	0.000871839581517001	0.0214488358442575	0.0419958818177465	0.0511096280949624	0.113360965468511
gna-2	0	364	0	5.18524994477357	Set 2	2.37441353299112	0	1	0	0.00772842887888867	0.0153383166682846	0.0511466955956782	0.113428149487858
tag-51	1	1013	4.68730957804839	17.6336141463586	Set 2	1.63250995458952	0.00120772946859903	0.998792270531401	0.000871839581517001	0.0202259831735473	0.0396490555182664	0.051167120032587	0.113458411232831
dhc-4	5	45	9.51904913326111	1.63466901190984	Set 1	1.85319573815789	0.0869565217391304	0.91304347826087	0.003487358326068	0.0010271962433966	0.00670578373847443	0.0511974008022518	0.113510517582102
C38D9.2	0	228	0	4.54572091430781	Set 2	2.18450911224555	0	1	0	0.00469575425552729	0.00934761441090555	0.0512195254710652	0.113544529511155
vps-2	15	3002	40.1681275195668	67.4076810050225	Set 2	0.711385162744355	0.0060459492140266	0.993954050785973	0.00871839581517001	0.0402073958129525	0.0772883268299563	0.0513079054421172	0.113725389138487
glb-22	4	297	6.02230281230268	25.9328618029879	Set 2	1.884765308726	0.00873362445414847	0.991266375545852	0.001743679163034	0.00555175112502446	0.0110416615998249	0.0513263356590378	0.113751175837568
Y77E11A.14	0	171	0	4.68657063773992	Set 2	2.22853262772123	0	1	0	0.00347290158481706	0.00692176456251523	0.0513612407376189	0.113813463024696
hum-8	0	140	0	4.70377906488253	Set 2	2.23382029880442	0	1	0	0.00183427900606535	0.00366184117374216	0.0514097916164982	0.113875818195518
glb-26	0	197	0	4.14245063134343	Set 2	2.05048450388235	0	1	0	0.0026169047153199	0.00522014879863398	0.0513974411743291	0.113875818195518
wars-1	29	3257	86.4583009284526	64.9018008738857	Set 1	0.391686595025704	0.00807754442649435	0.991922455573506	0.013077593722755	0.045049892388965	0.0099866844207723	0.0514077494588306	0.113875818195518
acdh-1	0	115	0	5.16940001403155	Set 2	2.36999684398082	0	1	0	0.00229896302093524	0.00458737982528915	0.0515505852354089	0.114172574445552
Y41C4A.7	1	11	2.99601230761856	0.159008034371168	Set 1	1.37015298310032	0.0909090909090909	0.909090909090909	0.000871839581517001	0.000244570534142047	0.00172711571675302	0.0515955327464695	0.114257003384184
C35A5.5	0	248	0	4.76962911934593	Set 2	2.25387708835176	0	1	0	0.00454901193504207	0.00905682426839363	0.051614229947368	0.114283287025942
C29F9.6	0	154	0	4.69090323229277	Set 2	2.22986574007259	0	1	0	0.00310604578360399	0.00619285627209557	0.0516776555918004	0.114408587518514
helq-1	18	2387	68.7241728478951	50.7618603567954	Set 1	0.40892816810555	0.00930565497494631	0.990694345025054	0.011333914559721	0.0338485619252592	0.0102201257861635	0.0517342964127599	0.114518836008512
ztf-20	0	293	0	4.30996706494596	Set 2	2.10767684485482	0	1	0	0.0042066131872432	0.00837798343886995	0.0517619760592037	0.114564955475125
dss-1	11	1642	16.3911351807147	34.8945953772605	Set 2	1.00465149750838	0.00845665961945032	0.99154334038055	0.00697471665213601	0.022940716102524	0.04484390687001	0.0517827501152073	0.114595780600056
W08E12.8	1	353	1.5376359462381	9.97040274652552	Set 2	1.97416666989473	0.00294117647058824	0.997058823529412	0.000871839581517001	0.00829094110741538	0.0164451343746968	0.0519453608563912	0.114940442180515
nhr-150	0	193	0	4.32791510780673	Set 2	2.11367220093289	0	1	0	0.00286147524946194	0.00570662114376295	0.0520088981119169	0.115065819920575
cpr-1	2	14	9.27900219796365	0.707191420000339	Set 1	2.44234484528779	0.142857142857143	0.857142857142857	0.001743679163034	0.000293484640970456	0.00344530577088717	0.0520262658245727	0.115089031338339
D2045.2	23	4984	57.580959325364	93.717483543517	Set 2	0.677886397099818	0.00563274502440856	0.994367254975591	0.013077593722755	0.0647622774408139	0.121604555578517	0.0520459348760917	0.115117326816591
mai-1	35	2469	97.1044258325694	69.9023777578259	Set 1	0.453703042400099	0.0164168451106353	0.983583154889365	0.020052310374891	0.033701819604774	0.0180533751962323	0.0521048213156896	0.115232345977893
tbh-1	0	75	0	6.90857267316298	Set 2	2.78838767732087	0	1	0	0.000904910976325572	0.00180818570555895	0.052134891522899	0.11528361466756
tatn-1	4	733	6.68241933080817	22.5190610291951	Set 2	1.55151405503149	0.00992555831265509	0.990074441687345	0.003487358326068	0.00975836431226766	0.0193262454287859	0.0522085637488012	0.11541602581742
taf-1	104	12778	341.168714303071	296.581401171137	Set 1	0.197200994497201	0.0110403948564749	0.988959605143525	0.0741063644289451	0.186216004695754	0.0192177255256613	0.0522082429076531	0.11541602581742
hmg-1.1	167	16134	442.027425401715	397.475068861076	Set 1	0.14964642094124	0.0142398286937901	0.98576017130621	0.115954664341761	0.225176090784582	0.0253647372937923	0.0522233748066501	0.115433521412956
F54B3.1	119	19049	315.095457669091	402.595424521208	Set 2	0.348970472503732	0.00932143931041395	0.990678560689586	0.0810810810810811	0.241733515945999	0.388636587044136	0.0523512684638187	0.115700934937136
F59A3.12	0	426	0	5.30126341583805	Set 2	2.40633622883582	0	1	0	0.00860888280180004	0.0170708050436469	0.05239356407963	0.115779123580772
Y73B6A.1	7	118	19.1802596576479	4.86848222628278	Set 1	1.70856292087313	0.0470588235294118	0.952941176470588	0.003487358326068	0.00198102132655058	0.00649350649350649	0.0524215837148415	0.115825748730733
F57G12.1	84	10468	203.559156405238	268.965395706797	Set 2	0.394902455758404	0.00896370791429821	0.991036292085702	0.035745422842197	0.11086382312659	0.199419295235581	0.0524778678861933	0.115934803961354
W03G9.8	0	235	0	4.46477665846167	Set 2	2.15858800921241	0	1	0	0.00364410095871649	0.00726173940590199	0.0525017473797999	0.115972251009068
srh-174	3	3	4.70924476643378	0.118874571427916	Set 1	2.07344739397272	0.5	0.5	0.002615518744551	7.3371160242614e-05	0.00520381613183001	0.0526624104032977	0.116296445927645
