Gene_name|Publication|Pub_number
GMPR2|Stubbs J.L. et al.|52
GMPS|Ross et al.|22
GMPS|McClintock et al.|29
GMPS|Monika-Abedin-Sigg et al.|30
GMPS|Blacque et al._xbox|54
GNA11|Cilia Carta (TJP van Dam et al.)|13
GNA11|GO CC Cilium|15
GNA11|Liu et al.|28
GNA13|Mayer et al. 2009|19
GNA13|Liu et al.|28
GNA13|Monika-Abedin-Sigg et al.|30
GNA13|Mayer et al. 2008|51
GNA14|Ross et al.|22
GNAI1|Liu et al.|28
GNAI1|Monika-Abedin-Sigg et al.|30
GNAI1|Fritz-Laylin L.K. et Cande|49
GNAI2|Efimenko et al.|2
GNAI2|Chen et al.|12
GNAI2|Mayer et al. 2009|19
GNAI2|Ostrowski et al.|20
GNAI2|Liu et al.|28
GNAI2|McClintock et al.|29
GNAI2|Mayer et al. 2008|51
GNAI2|Blacque et al._xbox|54
GNAI3|Mayer et al. 2009|19
GNAI3|Liu et al.|28
GNAI3|Mayer et al. 2008|51
GNAI3|Blacque et al._xbox|54
GNAL|Mayer et al. 2009|19
GNAL|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GNAL|Geremek M. et al. 2014|42
GNAL|Mayer et al. 2008|51
GNAO1|Phirke et al.|3
GNAO1|Chen et al.|12
GNAO1|Mayer et al. 2009|19
GNAO1|Liu et al.|28
GNAO1|Monika-Abedin-Sigg et al.|30
GNAO1|Fritz-Laylin L.K. et Cande|49
GNAO1|Mayer et al. 2008|51
GNAO1|Blacque et al._xbox|54
GNAO1|Blacque et al._xbox|54
GNAQ|Bechstedt et al.|5
GNAQ|Cilia Carta (TJP van Dam et al.)|13
GNAQ|GO CC Cilium|15
GNAQ|Mayer et al. 2009|19
GNAQ|Liu et al.|28
GNAQ|McClintock et al.|29
GNAQ|Monika-Abedin-Sigg et al.|30
GNAQ|Mayer et al. 2008|51
GNAQ|Blacque et al._sage|56
GNAQ|Blacque et al._sage|56
GNAS|Bayesian (TJP van Dam et al.)|11
GNAS|Cilia Carta (TJP van Dam et al.)|13
GNAS|Mayer et al. 2009|19
GNAS|Liu et al.|28
GNAS|McClintock et al.|29
GNAS|Monika-Abedin-Sigg et al.|30
GNAS|Ishikawa H. et al|48
GNAS|Mayer et al. 2008|51
GNAS2|David U. Mick et al.|26
GNAT1|Cilia Carta (TJP van Dam et al.)|13
GNAT1|GO CC Cilium|15
GNAT1|Liu et al.|28
GNAT2|Cilia Carta (TJP van Dam et al.)|13
GNAT2|GO CC Cilium|15
GNAT2|Liu et al.|28
GNAT2|Blacque et al._xbox|54
GNAT3|Cilia Carta (TJP van Dam et al.)|13
GNAT3|GO CC Cilium|15
GNAT3|Gabrielle Wheway|27
GNAT3|Liu et al.|28
GNAT3|Blacque et al._xbox|54
GNAZ|Liu et al.|28
GNB1|Cilia Carta (TJP van Dam et al.)|13
GNB1|GO CC Cilium|15
GNB1|Liu et al.|28
GNB1|Mayer et al. 2008|51
GNB1L|Ross et al.|22
GNB1L|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GNB2|Mayer et al. 2009|19
GNB2|Liu et al.|28
GNB2|Monika-Abedin-Sigg et al.|30
GNB2|Mayer et al. 2008|51
RACK1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
RACK1|Mayer et al. 2008|51
GNB3|Liu et al.|28
GNB4|Laurençon et al.|7
GNB4|Gabrielle Wheway|27
GNB4|Liu et al.|28
GNB5|Cilia Carta (TJP van Dam et al.)|13
GNB5|GO CC Cilium|15
GNB5|Lambacher N. et al.|17
GNB5|Liu et al.|28
GNG12|Monika-Abedin-Sigg et al.|30
GNG2|Gabrielle Wheway|27
GNG4|Alexander E. Ivliev et al|8
GNG8|Monika-Abedin-Sigg et al.|30
GNGT1|Cilia Carta (TJP van Dam et al.)|13
GNGT1|GO CC Cilium|15
GNGT1|Liu et al.|28
GNL1|Liu et al.|28
GNL1|Marshall et al.|55
GNL2|Gabrielle Wheway|27
GNMT|Alexander E. Ivliev et al|8
GNPAT|Alexander E. Ivliev et al|8
GNPAT|Gabrielle Wheway|27
GNPAT|Liu et al.|28
GNPDA1|Semil P. Choksi et al.|23
GNPNAT1|Marshall et al.|55
GNRHR|Gabrielle Wheway|27
GNRHR|McClintock et al.|29
GNS|Li et al.|18
GNS|McClintock et al.|29
GOLGA2|Mayer et al. 2009|19
GOLGA2|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GOLGA2|Liu et al.|28
GOLGA2|Mayer et al. 2008|51
GOLGA3|Andersen et al.|9
GOLGA3|Liu et al.|28
GOLGA3|Nogales-Cadenas R. et al.|46
GOLGA3|Marshall et al.|55
GOLGA4|Liu et al.|28
GOLGA4|Broadhead et al.|32
GOLGA5|Laurençon et al.|7
GOLGA5|Karsten Boldt et al.|16
GOLGA5|Mayer et al. 2009|19
GOLGA5|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GOLGA5|Liu et al.|28
GOLGA5|Mayer et al. 2008|51
GOLGA6L1|Pazour et al.|21
GOLGA6L2|Karsten Boldt et al.|16
GOLGA7|Liu et al.|28
GOLGA8A|Pazour et al.|21
GOLGB1|Hannah Müller et al.|6
GOLGB1|Liu et al.|28
GOLGB1|Broadhead et al.|32
GOLGB1|Geremek M. et al. 2014|42
GOLIM4|Mayer et al. 2008|51
GOLM1|Ross et al.|22
GOLPH3|Karsten Boldt et al.|16
GOLPH3L|Alexander E. Ivliev et al|8
GON4L|Kilburn et al.|1
GON7|Alexander E. Ivliev et al|8
GON7|Ross et al.|22
GOPC|Karsten Boldt et al.|16
GORASP1|Alexander E. Ivliev et al|8
GORASP2|Karsten Boldt et al.|16
GORASP2|Liu et al.|28
GOSR1|Efimenko et al.|2
GOSR1|Gabrielle Wheway|27
GOSR1|Liu et al.|28
GOSR1|McClintock et al.|29
GOSR2|Efimenko et al.|2
GOSR2|Ross et al.|22
GOSR2|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GOT1|Liu et al.|28
GOT1|Monika-Abedin-Sigg et al.|30
GOT1|Lauwaet T. et al.|40
GOT1|Nakachi M. et al.|39
GOT1L1|Semil P. Choksi et al.|23
GOT1L1|Nakachi M. et al.|39
GOT2|Kilburn et al.|1
GOT2|Monika-Abedin-Sigg et al.|30
GOT2|Nakachi M. et al.|39
GP1BA|Jakobsen L. et al.|43
GP1BA|Nogales-Cadenas R. et al.|46
GP1BA|Arnaiz O. et al.|53
GP2|Monika-Abedin-Sigg et al.|30
GP2|Geremek M. et al. 2014|42
GP9|Geremek M. et al. 2014|42
GPAA1|Karsten Boldt et al.|16
GPAA1|Gabrielle Wheway|27
GPALPP1|McClintock et al.|29
GPAM|Efimenko et al.|2
GPAM|Gabrielle Wheway|27
GPAM|McClintock et al.|29
GPAT3|Efimenko et al.|2
GPAT3|McClintock et al.|29
GPAT3|Marshall et al.|55
GPATCH1|McClintock et al.|29
GPATCH11|Laurençon et al.|7
GPATCH3|McClintock et al.|29
GPBP1L1|Karsten Boldt et al.|16
GPC1|David U. Mick et al.|26
GPC4|Ross et al.|22
GPC4|McClintock et al.|29
GPC4|Geremek M. et al. 2014|42
GPC6|Blacque et al._xbox|54
GPCPD1|Ross et al.|22
GPD1|Monika-Abedin-Sigg et al.|30
GPD1|Broadhead et al.|32
GPD1|Marshall et al.|55
GPD2|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GPD2|Gabrielle Wheway|27
GPD2|McClintock et al.|29
GPD2|Blacque et al._xbox|54
GPHB5|Phirke et al.|3
GPHN|Karsten Boldt et al.|16
GPHN|Liu et al.|28
GPHN|Broadhead et al.|32
GPI|Karsten Boldt et al.|16
GPI|Ross et al.|22
GPI|Liu et al.|28
GPI|McClintock et al.|29
GPI|Monika-Abedin-Sigg et al.|30
GPI|Lauwaet T. et al.|40
GPKOW|Phirke et al.|3
GPKOW|McClintock et al.|29
GPKOW|Blacque et al._xbox|54
GPLD1|Gabrielle Wheway|27
GPM6A|Mayer et al. 2009|19
GPM6A|Liu et al.|28
GPM6A|Mayer et al. 2008|51
GPM6B|Efimenko et al.|2
GPM6B|Alexander E. Ivliev et al|8
GPN2|Marshall et al.|55
GPN3|Alexander E. Ivliev et al|8
GPNMB|Ross et al.|22
GPNMB|Gabrielle Wheway|27
GPR1|Gabrielle Wheway|27
GPR107|Gabrielle Wheway|27
GPR108|Gabrielle Wheway|27
GPR119|Gabrielle Wheway|27
GPR132|Gabrielle Wheway|27
GPR132|Nogales-Cadenas R. et al.|46
GPR135|Gabrielle Wheway|27
GPR137|Marshall et al.|55
GPR139|Blacque et al._xbox|54
GPR142|Gabrielle Wheway|27
GPR143|Alexander E. Ivliev et al|8
GPR143|Semil P. Choksi et al.|23
GPR146|Alexander E. Ivliev et al|8
GPR150|Gabrielle Wheway|27
GPR155|Efimenko et al.|2
GPR155|Gabrielle Wheway|27
GPR156|Ramona A. Hoh et al.|31
GPR156|Stubbs J.L. et al.|52
GPR157|Ross et al.|22
GPR158|McClintock et al.|29
GPR160|Ross et al.|22
GPR161|Cilia Carta (TJP van Dam et al.)|13
GPR161|GO CC Cilium|15
GPR161|Ross et al.|22
GPR161|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GPR161|Gabrielle Wheway|27
GPR162|Alexander E. Ivliev et al|8
GPR162|Geremek M. et al. 2011|41
GPR173|Gabrielle Wheway|27
GPR174|Gabrielle Wheway|27
GPR176|Gabrielle Wheway|27
GPR179|Liu et al.|28
GPR18|Gabrielle Wheway|27
GPR180|Arnaiz O. et al.|53
GPR183|Phirke et al.|3
GPR20|Gabrielle Wheway|27
GPR22|Gabrielle Wheway|27
GPR26|Gabrielle Wheway|27
GPR3|Gabrielle Wheway|27
GPR37|Ross et al.|22
GPR37|Gabrielle Wheway|27
GPR50|Efimenko et al.|2
GPR50|Monika-Abedin-Sigg et al.|30
GPR62|Nogales-Cadenas R. et al.|46
GPR63|Gabrielle Wheway|27
GPR65|Gabrielle Wheway|27
GPR83|Cilia Carta (TJP van Dam et al.)|13
GPR83|GO CC Cilium|15
GPR83|Gabrielle Wheway|27
GPR84|Laurençon et al.|7
GPR84|Gabrielle Wheway|27
GPR85|Marshall et al.|55
GPR87|Alexander E. Ivliev et al|8
GPR87|Gabrielle Wheway|27
GPR89B|Karsten Boldt et al.|16
ADGRV1|Cilia Carta (TJP van Dam et al.)|13
ADGRV1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ADGRV1|David U. Mick et al.|26
GPRASP2|Lambacher N. et al.|17
GPRC5A|Ross et al.|22
GPRC5B|Ross et al.|22
GPRC5C|Nogales-Cadenas R. et al.|46
GPRC5C|Marshall et al.|55
GPRC5D|Gabrielle Wheway|27
GPRIN1|Liu et al.|28
GPS1|Karsten Boldt et al.|16
GPS1|Nogales-Cadenas R. et al.|46
GPSM1|McClintock et al.|29
GPSM2|Ross et al.|22
GPSM2|Liu et al.|28
GPSM2|Nogales-Cadenas R. et al.|46
GPSM2|Fritz-Laylin L.K. et Cande|49
GPSM2|Blacque et al._xbox|54
GPT|McClintock et al.|29
GPT2|Ross et al.|22
GPT2|Gabrielle Wheway|27
GPT2|Monika-Abedin-Sigg et al.|30
GPX1|Blacque et al._xbox|54
GPX2|Gabrielle Wheway|27
GPX2|Marshall et al.|55
GPX3|Ross et al.|22
GPX3|Arnaiz O. et al.|53
GPX4|Efimenko et al.|2
GPX4|Phirke et al.|3
GPX4|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GPX4|Liu et al.|28
GPX4|Blacque et al._xbox|54
GPX5|Phirke et al.|3
GPX7|Nogales-Cadenas R. et al.|46
GPX8|Alexander E. Ivliev et al|8
GPX8|Lambacher N. et al.|17
GPX8|Monika-Abedin-Sigg et al.|30
GPX8|Yano J. et al.|50
GRAMD1B|Liu et al.|28
GRAMD1B|Ramona A. Hoh et al.|31
GRAMD1C|Alexander E. Ivliev et al|8
GRAMD1C|Ross et al.|22
GRAMD2A|Alexander E. Ivliev et al|8
GRAMD2A|Geremek M. et al. 2014|42
GRAMD2B|Alexander E. Ivliev et al|8
GRAMD4|Alexander E. Ivliev et al|8
GRAMD4|Gabrielle Wheway|27
GRB10|Ross et al.|22
GRB10|Nogales-Cadenas R. et al.|46
GRB14|Ramona A. Hoh et al.|31
GRB2|Gabrielle Wheway|27
GRB2|Liu et al.|28
GRB2|McClintock et al.|29
GRB2|Monika-Abedin-Sigg et al.|30
GRB2|Nogales-Cadenas R. et al.|46
GRB2|Blacque et al._xbox|54
GRB7|Ross et al.|22
GREB1L|Phirke et al.|3
GREM1|Kubo A. et al.|45
GREM2|McClintock et al.|29
GRHL1|Alexander E. Ivliev et al|8
GRHL1|McClintock et al.|29
GRHL2|Alexander E. Ivliev et al|8
GRHL2|Lambacher N. et al.|17
GRHL2|Gabrielle Wheway|27
GRHPR|Liu et al.|28
GRHPR|Monika-Abedin-Sigg et al.|30
GRHPR|Marshall et al.|55
GRIA2|Liu et al.|28
GRIA3|Liu et al.|28
GRIA4|Phirke et al.|3
GRIA4|Blacque et al._xbox|54
GRID2IP|Pazour et al.|21
GRID2IP|Semil P. Choksi et al.|23
GRIK3|Blacque et al._xbox|54
GRIK5|Efimenko et al.|2
GRIN1|Efimenko et al.|2
GRIN2A|Alexander E. Ivliev et al|8
GRIN2B|Semil P. Choksi et al.|23
GRIN2D|Semil P. Choksi et al.|23
GRIN3A|Arnaiz O. et al.|53
GRIN3B|Alexander E. Ivliev et al|8
GRIN3B|Geremek M. et al. 2014|42
GRINA|Kilburn et al.|1
GRINA|Laurençon et al.|7
GRINA|Blacque et al._xbox|54
GRINA|Arnaiz O. et al.|53
GRIP1|Liu et al.|28
GRIPAP1|Efimenko et al.|2
GRIPAP1|Karsten Boldt et al.|16
GRIPAP1|Broadhead et al.|32
GRIPAP1|Marshall et al.|55
GRK1|Efimenko et al.|2
GRK1|Cilia Carta (TJP van Dam et al.)|13
GRK1|GO CC Cilium|15
GRK1|Gabrielle Wheway|27
GRK1|Liu et al.|28
GRK2|Gabrielle Wheway|27
GRK2|McClintock et al.|29
GRK2|Monika-Abedin-Sigg et al.|30
GRK2|Blacque et al._xbox|54
GRK3|Alexander E. Ivliev et al|8
GRK3|Gabrielle Wheway|27
GRK3|Monika-Abedin-Sigg et al.|30
GRK5|Ross et al.|22
GRK5|Nogales-Cadenas R. et al.|46
GRM3|Alexander E. Ivliev et al|8
GRM3|Chen et al.|12
GRM4|Gabrielle Wheway|27
GRM5|Alexander E. Ivliev et al|8
GRM7|Alexander E. Ivliev et al|8
GRM7|Geremek M. et al. 2014|42
GRN|Gabrielle Wheway|27
GRP|Alexander E. Ivliev et al|8
GRP|Geremek M. et al. 2011|41
HSPA5|David U. Mick et al.|26
GRP78/BiP|Ostrowski et al.|20
GRPR|Gabrielle Wheway|27
GRSF1|Alexander E. Ivliev et al|8
GRTP1|Alexander E. Ivliev et al|8
GRXCR1|Efimenko et al.|2
GRXCR1|Cilia Carta (TJP van Dam et al.)|13
GRXCR1|GO CC Cilium|15
GSDMB|Ross et al.|22
GSDMC|Fritz-Laylin L.K. et Cande|49
GSDMD|Alexander E. Ivliev et al|8
GSDME|Ross et al.|22
GSE1|Arnaiz O. et al.|53
GSEC|Ross et al.|22
GSG1L|Gabrielle Wheway|27
HASPIN|McClintock et al.|29
GSK3A|Pazour et al.|21
GSK3A|Nogales-Cadenas R. et al.|46
GSK3A|Blacque et al._xbox|54
GSK3B|Alexander E. Ivliev et al|8
GSK3B|Cilia Carta (TJP van Dam et al.)|13
GSK3B|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GSK3B|Liu et al.|28
GSK3B|McClintock et al.|29
GSK3B|Monika-Abedin-Sigg et al.|30
GSKIP|McClintock et al.|29
GSN|Phirke et al.|3
GSN|Karsten Boldt et al.|16
GSN|Mayer et al. 2009|19
GSN|Semil P. Choksi et al.|23
GSN|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GSN|Liu et al.|28
GSN|Monika-Abedin-Sigg et al.|30
GSN|Kim J. et al.|44
GSN|Mayer et al. 2008|51
GSPT1|Ross et al.|22
GSPT1|Gabrielle Wheway|27
GSPT1|McClintock et al.|29
GSPT2|Blacque et al._xbox|54
GSR|Alexander E. Ivliev et al|8
GSR|McClintock et al.|29
GSR|Monika-Abedin-Sigg et al.|30
GSS|Alexander E. Ivliev et al|8
GSS|McClintock et al.|29
GSS|Monika-Abedin-Sigg et al.|30
GSS|Blacque et al._xbox|54
GSTA1|Bayesian (TJP van Dam et al.)|11
GSTA1|Cilia Carta (TJP van Dam et al.)|13
GSTA1|Pazour et al.|21
GSTA1|Ross et al.|22
GSTA1|Geremek M. et al. 2011|41
GSTA1|Fritz-Laylin L.K. et Cande|49
GSTA1|Arnaiz O. et al.|53
GSTA2|Bayesian (TJP van Dam et al.)|11
GSTA2|Cilia Carta (TJP van Dam et al.)|13
GSTA3|Ross et al.|22
GSTA3|Gabrielle Wheway|27
GSTA3|McClintock et al.|29
GSTA3|Geremek M. et al. 2011|41
GSTA5|Gabrielle Wheway|27
GSTCD|Marshall et al.|55
GSTK1|Alexander E. Ivliev et al|8
GSTK1|Liu et al.|28
GSTM1|Mayer et al. 2009|19
GSTM1|Mayer et al. 2008|51
GSTM2|Alexander E. Ivliev et al|8
GSTM2|Liu et al.|28
GSTM2|McClintock et al.|29
GSTM2|Geremek M. et al. 2014|42
GSTM2|Nogales-Cadenas R. et al.|46
GSTM3|Cilia Carta (TJP van Dam et al.)|13
GSTM3|GO CC Cilium|15
GSTM3|Mayer et al. 2009|19
GSTM3|Liu et al.|28
GSTM3|Cao W. et al.|47
GSTM3|Mayer et al. 2008|51
GSTM4|Monika-Abedin-Sigg et al.|30
GSTM4|Marshall et al.|55
GSTM5|Kilburn et al.|1
GSTM5|Liu et al.|28
GSTM5|Mayer et al. 2008|51
GSTM5|Marshall et al.|55
GSTO1|Efimenko et al.|2
GSTO1|Phirke et al.|3
GSTO1|Monika-Abedin-Sigg et al.|30
GSTO2|Lambacher N. et al.|17
GSTO2|Ross et al.|22
GSTO2|Marshall et al.|55
GSTP1|Efimenko et al.|2
GSTP1|Phirke et al.|3
GSTP1|Chen et al.|12
GSTP1|Ostrowski et al.|20
GSTP1|Pazour et al.|21
GSTP1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GSTP1|Liu et al.|28
GSTP1|McClintock et al.|29
GSTP1|Monika-Abedin-Sigg et al.|30
GSTP1|Fritz-Laylin L.K. et Cande|49
GSTP1|Blacque et al._xbox|54
GSTP1|Blacque et al._xbox|54
GSTT1|Yano J. et al.|50
GSTT2|Ross et al.|22
GSTT2B|Kilburn et al.|1
GSTT2B|Liu et al.|28
GSTZ1|Efimenko et al.|2
GSTZ1|Laurençon et al.|7
GSTZ1|Monika-Abedin-Sigg et al.|30
GTF2A1|Alexander E. Ivliev et al|8
GTF2A1|McClintock et al.|29
GTF2A1|Blacque et al._sage|56
GTF2A1L|Marshall et al.|55
GTF2B|Phirke et al.|3
GTF2F1|Gabrielle Wheway|27
GTF2F2|Liu et al.|28
GTF2H1|Karsten Boldt et al.|16
GTF2H2|Alexander E. Ivliev et al|8
GTF2H2|Ross et al.|22
GTF2H2|Marshall et al.|55
GTF2H2B|Ross et al.|22
GTF2H2C|Karsten Boldt et al.|16
GTF2H2C;|Karsten Boldt et al.|16
GTF2H3|Gabrielle Wheway|27
GTF2H4|Laurençon et al.|7
GTF2H4|Li et al.|18
GTF2H4|McClintock et al.|29
GTF2H4|Blacque et al._xbox|54
GTF2H5|Alexander E. Ivliev et al|8
GTF2I|Karsten Boldt et al.|16
GTF3C1|McClintock et al.|29
GTF3C1|Geremek M. et al. 2014|42
GTF3C2|Karsten Boldt et al.|16
GTF3C2|Geremek M. et al. 2014|42
GTF3C4|Karsten Boldt et al.|16
GTF3C5|Karsten Boldt et al.|16
GTF3C5|Marshall et al.|55
GTPBP1|Li et al.|18
GTPBP1|Liu et al.|28
GTPBP1|McClintock et al.|29
GTPBP10|Marshall et al.|55
GTPBP2|Li et al.|18
GTPBP3|Gabrielle Wheway|27
GTPBP4|Gabrielle Wheway|27
GTPBP4|McClintock et al.|29
GTPBP4|Marshall et al.|55
GTSE1|David U. Mick et al.|26
GTSE1|Gabrielle Wheway|27
GUCA1A|Cilia Carta (TJP van Dam et al.)|13
GUCA1A|GO CC Cilium|15
GUCA1A|Liu et al.|28
GUCA1B|Cilia Carta (TJP van Dam et al.)|13
GUCA1B|GO CC Cilium|15
GUCA1B|Gabrielle Wheway|27
GUCA1B|Liu et al.|28
GUCA1C|Cilia Carta (TJP van Dam et al.)|13
GUCA1C|GO CC Cilium|15
GUCA2B|Cilia Carta (TJP van Dam et al.)|13
GUCA2B|GO CC Cilium|15
GUCY1A2|Dey G et al.|14
GUCY1A2|Li et al.|18
GUCY1A2|Gabrielle Wheway|27
GUCY1A2|Kim J. et al.|44
GUCY1A1|Dey G et al.|14
GUCY1A1|Liu et al.|28
GUCY1B1|Li et al.|18
GUCY1B1|Liu et al.|28
GUCY1B1|Blacque et al._xbox|54
GUCY1B1|Blacque et al._sage|56
GUCY1B2|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GUCY1B2|Blacque et al._xbox|54
GUCY1B2|Blacque et al._xbox|54
GUCY1B1|Dey G et al.|14
GUCY1B1|McClintock et al.|29
GUCY1B1|Monika-Abedin-Sigg et al.|30
GUCY2C|Li et al.|18
GUCY2C|Fritz-Laylin L.K. et Cande|49
GUCY2D|Cilia Carta (TJP van Dam et al.)|13
GUCY2D|GO CC Cilium|15
GUCY2D|Li et al.|18
GUCY2D|Ross et al.|22
GUCY2D|Liu et al.|28
GUCY2D|Blacque et al._xbox|54
GUCY2F|Cilia Carta (TJP van Dam et al.)|13
GUCY2F|GO CC Cilium|15
GUCY2F|Li et al.|18
GUCY2F|Liu et al.|28
GUCY2F|McClintock et al.|29
GUF1|Liu et al.|28
GUF1|McClintock et al.|29
GUK1|Pazour et al.|21
GUK1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
GUK1|Liu et al.|28
GUK1|McClintock et al.|29
GUK1|Monika-Abedin-Sigg et al.|30
GUK1|Fritz-Laylin L.K. et Cande|49
GUK1|Blacque et al._sage|56
GULP1|Lambacher N. et al.|17
GULP1|Kim J. et al.|44
GXYLT1|Lambacher N. et al.|17
GXYLT2|Efimenko et al.|2
GXYLT2|Ross et al.|22
GYG1|Phirke et al.|3
GYG1|Chen et al.|12
GYG1|Semil P. Choksi et al.|23
GYG2|Alexander E. Ivliev et al|8
GYS1|Karsten Boldt et al.|16
GZF1|Laurençon et al.|7
GZF1|Alexander E. Ivliev et al|8
GZMK|Gabrielle Wheway|27
GZMM|Marshall et al.|55
GstD9|Ostrowski et al.|20
H1-0|Efimenko et al.|2
H1-0|Phirke et al.|3
H1-0|Blacque et al._sage|56
H1-0|Blacque et al._sage|56
H1-8|Gabrielle Wheway|27
H1-10|Gabrielle Wheway|27
H1-10|Marshall et al.|55
H2-T3|Gabrielle Wheway|27
H2A2A|David U. Mick et al.|26
H2AC18|Monika-Abedin-Sigg et al.|30
H2AC18|Ramona A. Hoh et al.|31
H2AC19|Monika-Abedin-Sigg et al.|30
H2AC19|Ramona A. Hoh et al.|31
H2AC21|Blacque et al._xbox|54
H2AC4|Andersen et al.|9
H2AC4|Andersen et al.|9
H2AC4|Andersen et al.|9
H2AC8|Andersen et al.|9
H2AC8|Andersen et al.|9
H2AC8|Andersen et al.|9
H2AZ2|Hannah Müller et al.|6
H2AZ2|Alexander E. Ivliev et al|8
H2AZ2|Ross et al.|22
H2AX|Kilburn et al.|1
H2AX|Lauwaet T. et al.|40
H2AX|Marshall et al.|55
MACROH2A1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
H2AZ1|Phirke et al.|3
H2AZ1|Hannah Müller et al.|6
H2AZ1|McClintock et al.|29
H2BC13|Andersen et al.|9
H2BC13|Andersen et al.|9
H2BS1|Ross et al.|22
H3-3A|Nogales-Cadenas R. et al.|46
H3-3B|Nogales-Cadenas R. et al.|46
H3C1|Andersen et al.|9
H3C1|Andersen et al.|9
H3C10|Andersen et al.|9
H3C10|Andersen et al.|9
H3C11|Andersen et al.|9
H3C11|Andersen et al.|9
H3C12|Andersen et al.|9
H3C12|Andersen et al.|9
H3C13|Blacque et al._xbox|54
H3C13|Blacque et al._xbox|54
H3C13|Blacque et al._xbox|54
H3C13|Blacque et al._xbox|54
H3C13|Blacque et al._xbox|54
H3C2|Andersen et al.|9
H3C2|Andersen et al.|9
H3C3|Andersen et al.|9
H3C3|Andersen et al.|9
H3C4|Andersen et al.|9
H3C4|Andersen et al.|9
H3C6|Andersen et al.|9
H3C6|Andersen et al.|9
H3C7|Andersen et al.|9
H3C7|Andersen et al.|9
H3C8|Andersen et al.|9
H3C8|Andersen et al.|9
H3-3A|Karsten Boldt et al.|16
H3-3A|Lauwaet T. et al.|40
H3-3B|Efimenko et al.|2
H3-3B|Phirke et al.|3
H4-16|Andersen et al.|9
H4-16|Andersen et al.|9
H4-I|Andersen et al.|9
H4-I|Andersen et al.|9
H4-II|Andersen et al.|9
H4-II|Andersen et al.|9
H4-III|Andersen et al.|9
H4-III|Andersen et al.|9
H4-IV|Andersen et al.|9
H4-IV|Andersen et al.|9
H4-V|Andersen et al.|9
H4-V|Andersen et al.|9
H4-VI|Andersen et al.|9
H4-VI|Andersen et al.|9
H4-VII|Andersen et al.|9
H4-VII|Andersen et al.|9
H4C1|Andersen et al.|9
H4C1|Andersen et al.|9
H4C11|Andersen et al.|9
H4C11|Andersen et al.|9
H4C12|Andersen et al.|9
H4C12|Andersen et al.|9
H4C13|Andersen et al.|9
H4C13|Andersen et al.|9
H4C14|Andersen et al.|9
H4C14|Andersen et al.|9
H4C15|Andersen et al.|9
H4C15|Andersen et al.|9
H4C2|Andersen et al.|9
H4C2|Andersen et al.|9
H4C3|Andersen et al.|9
H4C3|Andersen et al.|9
H4C4|Andersen et al.|9
H4C4|Andersen et al.|9
H4C5|Andersen et al.|9
H4C5|Andersen et al.|9
H4C6|Andersen et al.|9
H4C6|Andersen et al.|9
H4C8|Andersen et al.|9
H4C8|Andersen et al.|9
H4C9|Andersen et al.|9
H4C9|Andersen et al.|9
HABP2|Gabrielle Wheway|27
HABP2|Kim J. et al.|44
HABP4|Alexander E. Ivliev et al|8
HACD1|Ross et al.|22
HACD1|Ramona A. Hoh et al.|31
HACD2|Karsten Boldt et al.|16
HACD3|Mayer et al. 2009|19
HACD3|Ross et al.|22
HACD3|Liu et al.|28
HACD4|Alexander E. Ivliev et al|8
HACE1|Marshall et al.|55
HACL1|Alexander E. Ivliev et al|8
HACL1|McClintock et al.|29
HACL1|Blacque et al._sage|56
HADH|Kilburn et al.|1
HADH|Alexander E. Ivliev et al|8
HADH|Andersen et al.|9
HADH|Andersen et al.|9
HADH|SYSCILIA Gold Standard (van Dam TJ et al.)|24
HADH|Gabrielle Wheway|27
HADH|Monika-Abedin-Sigg et al.|30
HADH|Blacque et al._xbox|54
HADH|Blacque et al._xbox|54
HADHA|Hannah Müller et al.|6
HADHA|SYSCILIA Gold Standard (van Dam TJ et al.)|24
HADHA|Fritz-Laylin L.K. et Cande|49
HADHA|Blacque et al._xbox|54
HADHB|Gabrielle Wheway|27
HADHB|Monika-Abedin-Sigg et al.|30
HAGH|McClintock et al.|29
HAGH|Monika-Abedin-Sigg et al.|30
HAGH|Blacque et al._xbox|54
HAGHL|Alexander E. Ivliev et al|8
HAGHL|Geremek M. et al. 2011|41
HAGHL|Marshall et al.|55
HAL|McClintock et al.|29
HAL|Blacque et al._sage|56
HAND1|Blacque et al._xbox|54
HAND2|Gabrielle Wheway|27
HAO1|Kilburn et al.|1
HAP1|Alexander E. Ivliev et al|8
HAP1|Cilia Carta (TJP van Dam et al.)|13
