Gene_name|Publication|Pub_number
AXIN2|Efimenko et al.|2
AXIN2|Ross et al.|22
AXL|Ross et al.|22
AY761185|Gabrielle Wheway|27
AZGP1|Alexander E. Ivliev et al|8
AZGP1|Ross et al.|22
AZGP1P1|Ross et al.|22
CEP131|Cilia Carta (TJP van Dam et al.)|13
AZIN1|Cilia Carta (TJP van Dam et al.)|13
CEP131|SYSCILIA Gold Standard (van Dam TJ et al.)|24
AZIN1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
CEP131|David U. Mick et al.|26
AZIN1|David U. Mick et al.|26
AZIN1|Alexander E. Ivliev et al|8
Actb|Ostrowski et al.|20
Actb|Ostrowski et al.|20
Armc4|Stubbs J.L. et al.|52
Atp6v0d1|Ostrowski et al.|20
B-H1|Bechstedt et al.|5
B11B22.010|Ostrowski et al.|20
B3GALT1|Phirke et al.|3
B3GALT2|Marshall et al.|55
B3GALT5|Chen et al.|12
B3GNT2|Lambacher N. et al.|17
B4GAT1|Lambacher N. et al.|17
B3GNT3|McClintock et al.|29
B3GNT5|Alexander E. Ivliev et al|8
B3GNT5|Ross et al.|22
B3GNT5|Geremek M. et al. 2011|41
B3GNT6|Ross et al.|22
B3GNT6|Geremek M. et al. 2014|42
B3GNT7|Gabrielle Wheway|27
B3GNT8|Gabrielle Wheway|27
B3GNT9|Alexander E. Ivliev et al|8
B4GALNT3|Semil P. Choksi et al.|23
B4GALNT4|Gabrielle Wheway|27
B4GALT1|Alexander E. Ivliev et al|8
B4GALT1|Gabrielle Wheway|27
B4GALT3|Marshall et al.|55
B4GALT5|Gabrielle Wheway|27
B4GALT5|Marshall et al.|55
B4GAT1|Alexander E. Ivliev et al|8
B4GAT1|Chen et al.|12
B9D1|Efimenko et al.|2
B9D1|Phirke et al.|3
B9D1|Bechstedt et al.|5
B9D1|Alexander E. Ivliev et al|8
B9D1|Chen et al.|12
B9D1|Cilia Carta (TJP van Dam et al.)|13
B9D1|GO CC Cilium|15
B9D1|Karsten Boldt et al.|16
B9D1|Lambacher N. et al.|17
B9D1|Li et al.|18
B9D1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
B9D1|David K. Breslow et al.|25
B9D1|Liu et al.|28
B9D1|McClintock et al.|29
B9D1|Merchant et al.|35
B9D1|Nogales-Cadenas R. et al.|46
B9D1|Yano J. et al.|50
B9D1|Marshall et al.|55
B9D1|Blacque et al._xbox|54
B9D2|Phirke et al.|3
B9D2|Alexander E. Ivliev et al|8
B9D2|Cilia Carta (TJP van Dam et al.)|13
B9D2|Dey G et al.|14
B9D2|GO CC Cilium|15
B9D2|Karsten Boldt et al.|16
B9D2|Lambacher N. et al.|17
B9D2|Li et al.|18
B9D2|SYSCILIA Gold Standard (van Dam TJ et al.)|24
B9D2|David K. Breslow et al.|25
B9D2|McClintock et al.|29
B9D2|Geremek M. et al. 2011|41
B9D2|Nogales-Cadenas R. et al.|46
B9D2|Yano J. et al.|50
B9D2|Marshall et al.|55
B9D2|Hodges ME. et al.|38
B9D2|Blacque et al._xbox|54
B9D2|Blacque et al._sage|56
BAALC|Alexander E. Ivliev et al|8
BAALC|Ross et al.|22
BAALC|Gabrielle Wheway|27
BAALC|Nogales-Cadenas R. et al.|46
BAALC|Yano J. et al.|50
BABAM2|Gabrielle Wheway|27
BACE2|Ross et al.|22
BACH1|Phirke et al.|3
BACH1|Karsten Boldt et al.|16
BACH2|Phirke et al.|3
BACH2|Gabrielle Wheway|27
BAD|Karsten Boldt et al.|16
BAG1|Ross et al.|22
BAG2|Phirke et al.|3
BAG2|Alexander E. Ivliev et al|8
BAG2|McClintock et al.|29
BAG3|Karsten Boldt et al.|16
BAG5|Liu et al.|28
BAG6|Gabrielle Wheway|27
BAG6|Liu et al.|28
BAH1|Ostrowski et al.|20
BAHD1|Gabrielle Wheway|27
BAIAP2|Alexander E. Ivliev et al|8
BAIAP2|Karsten Boldt et al.|16
BAIAP2|Semil P. Choksi et al.|23
BAIAP2|Gabrielle Wheway|27
BAIAP2-DT|Alexander E. Ivliev et al|8
BAIAP2L1|Phirke et al.|3
BAIAP2L1|Ross et al.|22
BAIAP2L1|Geremek M. et al. 2011|41
BAIAP3|Alexander E. Ivliev et al|8
BAIAP3|Geremek M. et al. 2014|42
BANF1|Liu et al.|28
BANP|Gabrielle Wheway|27
BANP|Marshall et al.|55
BARD1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
BARD1|Nogales-Cadenas R. et al.|46
BARHL1|Jakobsen L. et al.|43
BARHL2|Semil P. Choksi et al.|23
BARX2|Ross et al.|22
BASP1|Alexander E. Ivliev et al|8
BASP1|Mayer et al. 2009|19
BASP1|Liu et al.|28
BASP1|Mayer et al. 2008|51
BATF3|Gabrielle Wheway|27
BAZ2A|McClintock et al.|29
BBC3|Gabrielle Wheway|27
BBC3|Nogales-Cadenas R. et al.|46
BBIP1|Phirke et al.|3
BBIP1|Alexander E. Ivliev et al|8
BBIP1|Chen et al.|12
BBIP1|Cilia Carta (TJP van Dam et al.)|13
BBIP1|GO CC Cilium|15
BBIP1|Karsten Boldt et al.|16
BBIP1|David K. Breslow et al.|25
BBIP1|Monika-Abedin-Sigg et al.|30
BBOF1|Alexander E. Ivliev et al|8
BBOF1|Ross et al.|22
BBOF1|Monika-Abedin-Sigg et al.|30
BBOF1|Geremek M. et al. 2011|41
BBOF1|Jakobsen L. et al.|43
BBOF1|Nogales-Cadenas R. et al.|46
BBOF1|Arnaiz O. et al.|53
BBOX1|Alexander E. Ivliev et al|8
BBOX1|Ross et al.|22
BBS1|Efimenko et al.|2
BBS1|Phirke et al.|3
BBS1|Alexander E. Ivliev et al|8
BBS1|Cilia Carta (TJP van Dam et al.)|13
BBS1|Dey G et al.|14
BBS1|GO CC Cilium|15
BBS1|Karsten Boldt et al.|16
BBS1|Lambacher N. et al.|17
BBS1|Li et al.|18
BBS1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
BBS1|David K. Breslow et al.|25
BBS1|Liu et al.|28
BBS1|McClintock et al.|29
BBS1|Monika-Abedin-Sigg et al.|30
BBS1|Kubo A. et al.|45
BBS1|Nogales-Cadenas R. et al.|46
BBS1|Fritz-Laylin L.K. et Cande|49
BBS1|Marshall et al.|55
BBS1|Hodges ME. et al.|38
BBS1|Blacque et al._xbox|54
BBS1|Blacque et al._sage|56
BBS10|Cilia Carta (TJP van Dam et al.)|13
BBS10|GO CC Cilium|15
BBS10|Karsten Boldt et al.|16
BBS10|Lambacher N. et al.|17
BBS10|SYSCILIA Gold Standard (van Dam TJ et al.)|24
BBS10|David K. Breslow et al.|25
BBS12|Alexander E. Ivliev et al|8
BBS12|Cilia Carta (TJP van Dam et al.)|13
BBS12|GO CC Cilium|15
BBS12|Karsten Boldt et al.|16
BBS12|Lambacher N. et al.|17
BBS12|SYSCILIA Gold Standard (van Dam TJ et al.)|24
BBS12|David K. Breslow et al.|25
BBS2|Kilburn et al.|1
BBS2|Efimenko et al.|2
BBS2|Phirke et al.|3
BBS2|Alexander E. Ivliev et al|8
BBS2|Cilia Carta (TJP van Dam et al.)|13
BBS2|Dey G et al.|14
BBS2|GO CC Cilium|15
BBS2|Karsten Boldt et al.|16
BBS2|Lambacher N. et al.|17
BBS2|Li et al.|18
BBS2|SYSCILIA Gold Standard (van Dam TJ et al.)|24
BBS2|David K. Breslow et al.|25
BBS2|Liu et al.|28
BBS2|McClintock et al.|29
BBS2|Monika-Abedin-Sigg et al.|30
BBS2|Fritz-Laylin L.K. et Cande|49
BBS2|Marshall et al.|55
BBS2|Hodges ME. et al.|38
BBS2|Blacque et al._xbox|54
BBS2|Blacque et al._sage|56
BBS4|Avidor-Reiss et al.|4
