Gene_name;interaction_scores.x;Reyfman;Carraro;Habermann;Murthy;Celegans;Trachea;CenGen;Cluster_31;Cluster_37;Motif_RFX2;Motif_RFX3;Motif_MYB;Motif_GLIS3;Motif_JAZF1;Motif_FOXJ1;Motif_SOX5;Motif_TOX;Centrosome;Cilia_expression;Flagella;Cilia_localization;interaction_scores.y;phylogenetic_scores;motif_score;pa_score;single_cell_score;total_score_sums;total_score_weighted
ABHD6;0,345669481179642;NA;0.21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD8;0,412467622999083;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NO;YES;NO;NO;NA;NA;NA;NA;NA;NA;NA
ABHD10;0,56040894217057;NA;NA;0.172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD11;0,174786413191554;0.7649575;0.123;0.392383741;NA;NA;NA;0.005;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD12;0,454858315871672;NA;NA;NA;NA;NA;NA;0.008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD12B;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD13;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NO;YES;NO;NO;NA;NA;NA;NA;NA;NA;NA
ABHD14A;0,554841447482371;NA;NA;NA;0.212;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NO;YES;NO;NO;NA;NA;NA;NA;NA;NA;NA
ABHD14B;0,41959044553177;NA;NA;NA;NA;NA;NA;0.016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD15;0,634600601615341;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD16A;0,27825462729789;NA;NA;NA;NA;NA;NA;0.006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD16B;0,498725519944114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17A;0,56924151094215;NA;NA;0.17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17AP1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17AP3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17AP4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17AP5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17AP6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17AP7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17AP8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17AP9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17B;0,552915255748303;NA;0.17;NA;NA;NA;NA;0.008;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD17C;0,531841810678583;NA;NA;0.249;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD18;0;NA;NA;NA;NA;NA;NA;0.006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABI1;0,566731887696521;0.728244604;0.123;NA;NA;NA;NA;0.007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABI1P1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABI2;0,574966070750995;0.898111754;0.326;0.422995272;0.299;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NO;YES;NO;NO;NA;NA;NA;NA;NA;NA;NA
ABI3;0,5109852630365;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
