HGNC ID	Status	Approved symbol	Alias symbol	Previous symbol
HGNC:28773	Approved	SHLD2	RINN2	FAM35A
HGNC:31425	Approved	SHLD2P1	bA38L15.1	FAM35B
HGNC:31425	Approved	SHLD2P1	bA38L15.1	FAM35EP
HGNC:31425	Approved	SHLD2P1	bA38L15.1	FAM35BP
HGNC:31427	Approved	SHLD2P2		FAM35AP
HGNC:31427	Approved	SHLD2P2		FAM35A2
HGNC:31427	Approved	SHLD2P2		FAM35CP
HGNC:34038	Approved	SHLD2P3		FAM35B2
HGNC:34038	Approved	SHLD2P3		FAM35DP
HGNC:53826	Approved	SHLD3	AC008560.1	
HGNC:53826	Approved	SHLD3	FLJ26957	
HGNC:53826	Approved	SHLD3	CTC-534A2.2	
HGNC:53826	Approved	SHLD3	RINN1	
HGNC:10850	Approved	SHMT1	CSHMT	
HGNC:10850	Approved	SHMT1	SHMT	
HGNC:10850	Approved	SHMT1	MGC15229	
HGNC:10850	Approved	SHMT1	MGC24556	
HGNC:10851	Approved	SHMT1P1		SHMT1P
HGNC:10852	Approved	SHMT2		SHMT
HGNC:26535	Approved	SHOC1	FLJ32779	C9orf84
HGNC:26535	Approved	SHOC1	Zip2	C9orf84
HGNC:26535	Approved	SHOC1	MZIP2	C9orf84
HGNC:15454	Approved	SHOC2	KIAA0862	
HGNC:15454	Approved	SHOC2	SOC2	
HGNC:15454	Approved	SHOC2	SUR-8	
HGNC:15454	Approved	SHOC2	SOC-2	
HGNC:15454	Approved	SHOC2	SUR8	
HGNC:10853	Approved	SHOX	PHOG	
HGNC:10853	Approved	SHOX	GCFX	
HGNC:10853	Approved	SHOX	SS	
HGNC:10853	Approved	SHOX	SHOXY	
HGNC:10854	Approved	SHOX2	SHOT	
HGNC:10854	Approved	SHOX2	OG12X	
HGNC:10854	Approved	SHOX2	OG12	
HGNC:1492	Approved	SHPK	SHK	CARKL
HGNC:19336	Approved	SHPRH	FLJ90837	
HGNC:19336	Approved	SHPRH	KIAA2023	
HGNC:19336	Approved	SHPRH	bA545I5.2	
HGNC:25543	Approved	SHQ1	FLJ10539	
HGNC:25543	Approved	SHQ1	Shq1p	
HGNC:45013	Approved	SHQ1P1		
HGNC:24084	Approved	SHROOM1	APXL2	
HGNC:24084	Approved	SHROOM1	KIAA1960	
HGNC:630	Approved	SHROOM2		APXL
HGNC:631	Approved	SHROOM2P1		APXLP
HGNC:30422	Approved	SHROOM3	ShrmL	
HGNC:30422	Approved	SHROOM3	SHRM	
HGNC:30422	Approved	SHROOM3	KIAA1481	
HGNC:30422	Approved	SHROOM3	APXL3	
HGNC:41265	Approved	SHROOM3-AS1		
HGNC:29215	Approved	SHROOM4	KIAA1202	
HGNC:29319	Approved	SHTN1	shootin1	KIAA1598
HGNC:29319	Approved	SHTN1	shootin-1	KIAA1598
HGNC:10856	Approved	SI		
HGNC:18187	Approved	SIAE	CSE-C	YSG2
HGNC:18187	Approved	SIAE	MGC87009	YSG2
HGNC:18187	Approved	SIAE	LSE	YSG2
HGNC:10857	Approved	SIAH1	hSIAH1	
HGNC:30966	Approved	SIAH1P1		SIAH1L
HGNC:10858	Approved	SIAH2		
HGNC:40526	Approved	SIAH2-AS1		
HGNC:30553	Approved	SIAH3	FLJ39203	
HGNC:10865	Entry Withdrawn	SIAT5	STZ	
HGNC:10865	Entry Withdrawn	SIAT5	SAT3	
HGNC:25967	Approved	SIDT1	FLJ20174	
HGNC:25967	Approved	SIDT1	SID-1	
HGNC:41126	Approved	SIDT1-AS1		
HGNC:24272	Approved	SIDT2	CGI-40	
HGNC:30575	Approved	SIGIRR	TIR8	
HGNC:30575	Approved	SIGIRR	IL-1R8	
HGNC:11127	Approved	SIGLEC1	SIGLEC-1	SN
HGNC:11127	Approved	SIGLEC1	CD169	SN
HGNC:11127	Approved	SIGLEC1	FLJ00051	SN
HGNC:11127	Approved	SIGLEC1	FLJ00055	SN
HGNC:11127	Approved	SIGLEC1	FLJ00073	SN
HGNC:11127	Approved	SIGLEC1	FLJ32150	SN
HGNC:11127	Approved	SIGLEC1	dJ1009E24.1	SN
HGNC:11127	Approved	SIGLEC1	sialoadhesin	SN
HGNC:10874	Approved	SIGLEC5	OB-BP2	CD33L2
HGNC:10874	Approved	SIGLEC5	SIGLEC-5	CD33L2
HGNC:10874	Approved	SIGLEC5	CD170	CD33L2
HGNC:10875	Approved	SIGLEC6	OB-BP1	CD33L
HGNC:10875	Approved	SIGLEC6	OB-BP1	CD33L1
HGNC:10875	Approved	SIGLEC6	SIGLEC-6	CD33L
HGNC:10875	Approved	SIGLEC6	SIGLEC-6	CD33L1
HGNC:10875	Approved	SIGLEC6	CD327	CD33L
HGNC:10875	Approved	SIGLEC6	CD327	CD33L1
HGNC:10876	Approved	SIGLEC7	SIGLEC-7	SIGLEC19P
HGNC:10876	Approved	SIGLEC7	SIGLEC-7	SIGLECP2
HGNC:10876	Approved	SIGLEC7	p75/AIRM1	SIGLEC19P
HGNC:10876	Approved	SIGLEC7	p75/AIRM1	SIGLECP2
HGNC:10876	Approved	SIGLEC7	QA79	SIGLEC19P
HGNC:10876	Approved	SIGLEC7	QA79	SIGLECP2
HGNC:10876	Approved	SIGLEC7	CD328	SIGLEC19P
HGNC:10876	Approved	SIGLEC7	CD328	SIGLECP2
